"title","volume","ISSN","url","DOI","number","journal","publisher","author","year","month","pages","key","entry","V1","editor","ISBN","booktitle","series","collection","doi","keywords","place","abstractNote"
"Scenarios as a tool for supporting policy-making for the Wadden Sea","68","0964-5691","http://dx.doi.org/10.1016/j.ocecoaman.2012.05.027","10.1016/j.ocecoaman.2012.05.027",NA,"Ocean &amp; Coastal Management","Elsevier BV","Wortelboer, Frederick G. and Bischof, Bärbel G.","2012","nov","189–200","Wortelboer_2012","article","10.1016/j.ocecoaman.2012.05.027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foam in the aquatic environment","45","0043-1354","http://dx.doi.org/10.1016/j.watres.2011.06.004","10.1016/j.watres.2011.06.004","15","Water Research","Elsevier BV","Schilling, Katerina and Zessner, Matthias","2011","oct","4355–4366","Schilling_2011","article","10.1016/j.watres.2011.06.004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"First record of the Asian copepod Pseudodiaptomus marinus Sato, 1913 (Copepoda: Calanoida: Pseudodiaptomidae) in the southern bight of the North Sea along the coast of France","7","1818-5487","http://dx.doi.org/10.3391/ai.2012.7.4.014","10.3391/ai.2012.7.4.014","4","Aquatic Invasions","Regional Euro-Asian Biological Invasions Centre Oy (REABIC)","Brylinski, Jean-Michel and Antajan, Elvire and Raud, Thomas and Vincent, Dorothée","2012","nov","577–584","Brylinski_2012","article","10.3391/ai.2012.7.4.014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A review of the biology of European cockles (Cerastodermaspp.)","92","1469-7769","http://dx.doi.org/10.1017/S0025315412000355","10.1017/s0025315412000355","7","Journal of the Marine Biological Association of the United Kingdom","Cambridge University Press (CUP)","Malham, Shelagh K. and Hutchinson, Thomas H. and Longshaw, Matt","2012","may","1563–1577","Malham_2012","article","10.1017/S0025315412000355",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sources of n-alkanes in an urbanized estuary: Insights from molecular distributions and compound-specific stable and radiocarbon isotopes","126","0304-4203","http://dx.doi.org/10.1016/j.marchem.2011.06.002","10.1016/j.marchem.2011.06.002","1–4","Marine Chemistry","Elsevier BV","Ahad, Jason M.E. and Ganeshram, Raja S. and Bryant, Charlotte L. and Cisneros-Dozal, Luz M. and Ascough, Philippa L. and Fallick, Anthony E. and Slater, Greg F.","2011","sep","239–249","Ahad_2011","article","10.1016/j.marchem.2011.06.002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Windows of change: temporal scale of analysis is decisive to detect ecosystem responses to climate change","159","1432-1793","http://dx.doi.org/10.1007/s00227-012-1938-1","10.1007/s00227-012-1938-1","11","Marine Biology","Springer Science and Business Media LLC","Adrian, Rita and Gerten, Dieter and Huber, Veronika and Wagner, Carola and Schmidt, Silke R.","2012","may","2533–2542","Adrian_2012","article","10.1007/s00227-012-1938-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spatially Extended Habitat Modification by Intertidal Reef-Building Bivalves has Implications for Consumer-Resource Interactions","15","1435-0629","http://dx.doi.org/10.1007/s10021-012-9538-y","10.1007/s10021-012-9538-y","4","Ecosystems","Springer Science and Business Media LLC","van der Zee, Els M. and van der Heide, Tjisse and Donadi, Serena and Eklöf, Johan S. and Eriksson, Britas Klemens and Olff, Han and van der Veer, Henk W. and Piersma, Theunis","2012","apr","664–673","van_der_Zee_2012","article","10.1007/s10021-012-9538-y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changes in the phytoplankton community at Helgoland, North Sea: lessons from single spot time series analyses","159","1432-1793","http://dx.doi.org/10.1007/s00227-012-2013-7","10.1007/s00227-012-2013-7","11","Marine Biology","Springer Science and Business Media LLC","Freund, Jan A. and Grüner, Nico and Brüse, Sabrina and Wiltshire, Karen H.","2012","aug","2561–2571","Freund_2012","article","10.1007/s00227-012-2013-7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Climate effects on size‐at‐age: growth in warming waters compensates for earlier maturity in an exploited marine fish","18","1365-2486","http://dx.doi.org/10.1111/j.1365-2486.2012.02673.x","10.1111/j.1365-2486.2012.02673.x","6","Global Change Biology","Wiley","Neuheimer, Anna B. and Grønkjær, Peter","2012","mar","1812–1822","Neuheimer_2012","article","10.1111/j.1365-2486.2012.02673.x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winter atmospheric circulation signature for the timing of the spring bloom of diatoms in the North Sea","159","1432-1793","http://dx.doi.org/10.1007/s00227-012-1993-7","10.1007/s00227-012-1993-7","11","Marine Biology","Springer Science and Business Media LLC","Lohmann, Gerrit and Wiltshire, Karen H.","2012","aug","2573–2581","Lohmann_2012","article","10.1007/s00227-012-1993-7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inclusion of discard assessment indicators in fisheries life cycle assessment studies. Expanding the use of fishery-specific impact categories","17","1614-7502","http://dx.doi.org/10.1007/s11367-012-0395-x","10.1007/s11367-012-0395-x","5","The International Journal of Life Cycle Assessment","Springer Science and Business Media LLC","Vázquez-Rowe, Ian and Moreira, Ma Teresa and Feijoo, Gumersindo","2012","mar","535–549","V_zquez_Rowe_2012","article","10.1007/s11367-012-0395-x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changes in Dogger Bank macrofauna communities in the 20th century caused by fishing and climate","94","0272-7714","http://dx.doi.org/10.1016/j.ecss.2011.06.015","10.1016/j.ecss.2011.06.015","3","Estuarine, Coastal and Shelf Science","Elsevier BV","Kröncke, Ingrid","2011","sep","234–245","Kr_ncke_2011","article","10.1016/j.ecss.2011.06.015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alien epibiont (Crassostrea gigas) impacts on native periwinkles (Littorina littorea)","6","1818-5487","http://dx.doi.org/10.3391/ai.2011.6.3.05","10.3391/ai.2011.6.3.05","3","Aquatic Invasions","Regional Euro-Asian Biological Invasions Centre Oy (REABIC)","Eschweiler, Nina and Buschbaum, Christian","2011","sep","281–290","Eschweiler_2011","article","10.3391/ai.2011.6.3.05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acetylcholine esterase inhibitors in effluents from oil production platforms in the North Sea","112–113","0166-445X","http://dx.doi.org/10.1016/j.aquatox.2011.10.019","10.1016/j.aquatox.2011.10.019",NA,"Aquatic Toxicology","Elsevier BV","Holth, T.F. and Tollefsen, K.E.","2012","may","92–98","Holth_2012","article","10.1016/j.aquatox.2011.10.019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marine conservation in a rapidly changing world","22","1099-0755","http://dx.doi.org/10.1002/aqc.2239","10.1002/aqc.2239","3","Aquatic Conservation: Marine and Freshwater Ecosystems","Wiley","Hawkins, S. J.","2012","may","281–287","Hawkins_2012","article","10.1002/aqc.2239",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A review of the current options for the treatment and safe disposal of drill cuttings","30","1096-3669","http://dx.doi.org/10.1177/0734242X11419892","10.1177/0734242x11419892","5","Waste Management &amp; Research: The Journal for a Sustainable Circular Economy","SAGE Publications","Ball, Andrew S and Stewart, Richard J. and Schliephake, Kirsten","2011","nov","457–473","Ball_2011","article","10.1177/0734242X11419892",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Influence of grid orientation and time of day on grid sorting in a small-meshed trawl fishery for Norway pout (Trisopterus esmarkii)","25","1765-2952","http://dx.doi.org/10.1051/alr/2011152","10.1051/alr/2011152","1","Aquatic Living Resources","EDP Sciences","Eigaard, Ole Ritzau and Herrmann, Bent and Rasmus Nielsen, J.","2012","jan","15–26","Eigaard_2012","article","10.1051/alr/2011152",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolution of marine storminess in the Belgian part of the North Sea","12","1684-9981","http://dx.doi.org/10.5194/nhess-12-305-2012","10.5194/nhess-12-305-2012","2","Natural Hazards and Earth System Sciences","Copernicus GmbH","Van den Eynde, D. and De Sutter, R. and Haerens, P.","2012","feb","305–312","Van_den_Eynde_2012","article","10.5194/nhess-12-305-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flight call rates of migrating thrushes: effects of wind conditions, humidity and time of day at an illuminated offshore platform","43","1600-048X","http://dx.doi.org/10.1111/j.1600-048X.2011.05443.x","10.1111/j.1600-048x.2011.05443.x","1","Journal of Avian Biology","Wiley","Hüppop, Ommo and Hilgerloh, Gudrun","2012","jan","85–90","H_ppop_2012","article","10.1111/j.1600-048X.2011.05443.x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assessment of the environmental status of the coastal and marine aquatic environment in Europe: A plea for adaptive management","96","0272-7714","http://dx.doi.org/10.1016/j.ecss.2011.06.020","10.1016/j.ecss.2011.06.020",NA,"Estuarine, Coastal and Shelf Science","Elsevier BV","Laane, R.W.P.M. and Slijkerman, D. and Vethaak, A.D. and Schobben, J.H.M.","2012","jan","31–38","Laane_2012","article","10.1016/j.ecss.2011.06.020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecological and economic trade-offs in the management of mixed fisheries: a case study of spawning closures in flatfish fisheries","447","1616-1599","http://dx.doi.org/10.3354/meps09519","10.3354/meps09519",NA,"Marine Ecology Progress Series","Inter-Research Science Center","Rijnsdorp, AD and van Overzee, HMJ and Poos, JJ","2012","feb","179–194","Rijnsdorp_2012","article","10.3354/meps09519",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uptake of dissolved organic nitrogen by size-fractionated plankton along a salinity gradient from the North Sea to the Baltic Sea","111","1573-515X","http://dx.doi.org/10.1007/s10533-011-9656-1","10.1007/s10533-011-9656-1","1–3","Biogeochemistry","Springer Science and Business Media LLC","Korth, Frederike and Deutsch, Barbara and Liskow, Iris and Voss, Maren","2011","sep","347–360","Korth_2011","article","10.1007/s10533-011-9656-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent organic pollutants in the Scheldt estuary: Environmental distribution and bioaccumulation","48","0160-4120","http://dx.doi.org/10.1016/j.envint.2012.06.017","10.1016/j.envint.2012.06.017",NA,"Environment International","Elsevier BV","Van Ael, Evy and Covaci, Adrian and Blust, Ronny and Bervoets, Lieven","2012","nov","17–27","Van_Ael_2012","article","10.1016/j.envint.2012.06.017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Large-scale spatial pollution patterns around the North Sea indicated by coastal bird eggs within an EcoQO programme","19","1614-7499","http://dx.doi.org/10.1007/s11356-012-1070-2","10.1007/s11356-012-1070-2","9","Environmental Science and Pollution Research","Springer Science and Business Media LLC","Dittmann, Tobias and Becker, Peter H. and Bakker, Joop and Bignert, Anders and Nyberg, Elisabeth and Pereira, M. Glória and Pijanowska, Ursula and Shore, Richard F. and Stienen, Eric and Toft, Geir Olav and Marencic, Harald","2012","aug","4060–4072","Dittmann_2012","article","10.1007/s11356-012-1070-2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bio‐energetics underpins the spatial response of North Sea plaice (Pleuronectes platessa L.) and sole (Solea solea L.) to climate change","18","1365-2486","http://dx.doi.org/10.1111/j.1365-2486.2012.02795.x","10.1111/j.1365-2486.2012.02795.x","11","Global Change Biology","Wiley","Teal, Lorna R. and van Hal, Ralf and van Kooten, Tobias and Ruardij, Piet and Rijnsdorp, Adriaan D.","2012","aug","3291–3305","Teal_2012","article","10.1111/j.1365-2486.2012.02795.x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assessment of lysosomal membrane stability and peroxisome proliferation in the head kidney of Atlantic cod (Gadus morhua) following long-term exposure to produced water components","72","0141-1136","http://dx.doi.org/10.1016/j.marenvres.2011.07.001","10.1016/j.marenvres.2011.07.001","3","Marine Environmental Research","Elsevier BV","Holth, T.F. and Beckius, J. and Zorita, I. and Cajaraville, M.P. and Hylland, K.","2011","sep","127–134","Holth_2011","article","10.1016/j.marenvres.2011.07.001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local and global influences on population declines of coastal waders: Purple Sandpiper Calidris maritima numbers in the Moray Firth, Scotland","102–103","0272-7714","http://dx.doi.org/10.1016/j.ecss.2012.03.026","10.1016/j.ecss.2012.03.026",NA,"Estuarine, Coastal and Shelf Science","Elsevier BV","Summers, Ron W. and Foster, Simon and Swann, Bob and Etheridge, Brian","2012","may","126–132","Summers_2012","article","10.1016/j.ecss.2012.03.026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The response of temperate aquatic ecosystems to global warming: novel insights from a multidisciplinary project","159","1432-1793","http://dx.doi.org/10.1007/s00227-012-2085-4","10.1007/s00227-012-2085-4","11","Marine Biology","Springer Science and Business Media LLC","Sommer, Ulrich and Adrian, Rita and Bauer, Barbara and Winder, Monika","2012","oct","2367–2377","Sommer_2012","article","10.1007/s00227-012-2085-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alien parasitic copepods in mussels and oysters of the Wadden Sea","65","1438-3888","http://dx.doi.org/10.1007/s10152-010-0223-2","10.1007/s10152-010-0223-2","3","Helgoland Marine Research","Springer Science and Business Media LLC","Elsner, Nikolaus O. and Jacobsen, Sabine and Thieltges, David W. and Reise, Karsten","2010","sep","299–307","Elsner_2010","article","10.1007/s10152-010-0223-2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A method of detecting patterns in mean lengths of samples of discarded fish, applied to the self-sampling programme of the Dutch bottom-trawl fishery","68","1054-3139","http://dx.doi.org/10.1093/icesjms/fsr066","10.1093/icesjms/fsr066","8","ICES Journal of Marine Science","Oxford University Press (OUP)","Uhlmann, Sebastian S. and Bierman, Stijn M. and van Helmond, Aloysius T. M.","2011","jun","1712–1718","Uhlmann_2011","article","10.1093/icesjms/fsr066",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quantifying causes of discard variability: an indispensable assistance to discard estimation and a paramount need for policy measures","68","1054-3139","http://dx.doi.org/10.1093/icesjms/fsr030","10.1093/icesjms/fsr030","8","ICES Journal of Marine Science","Oxford University Press (OUP)","Depestele, Jochen and Vandemaele, Sofie and Vanhee, Willy and Polet, Hans and Torreele, Els and Leirs, Herwig and Vincx, Magda","2011","mar","1719–1725","Depestele_2011","article","10.1093/icesjms/fsr030",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Responses to changes in sprat abundance of common tern breeding numbers at 12 colonies in the Firth of Forth, east Scotland","69","1054-3139","http://dx.doi.org/10.1093/icesjms/fss022","10.1093/icesjms/fss022","4","ICES Journal of Marine Science","Oxford University Press (OUP)","Jennings, Gemma and McGlashan, Derek J. and Furness, Robert W.","2012","feb","572–577","Jennings_2012","article","10.1093/icesjms/fss022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Observations of discards in the Scottish mixed demersal trawl fishery","68","1054-3139","http://dx.doi.org/10.1093/icesjms/fsr131","10.1093/icesjms/fsr131","8","ICES Journal of Marine Science","Oxford University Press (OUP)","Fernandes, Paul G. and Coull, Kenny and Davis, Craig and Clark, Peter and Catarino, Rui and Bailey, Nick and Fryer, Rob and Pout, Alastair","2011","sep","1734–1742","Fernandes_2011","article","10.1093/icesjms/fsr131",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21st century fisheries management: a spatio-temporally explicit tariff-based approach combining multiple drivers and incentivising responsible fishing","69","1054-3139","http://dx.doi.org/10.1093/icesjms/fss033","10.1093/icesjms/fss033","4","ICES Journal of Marine Science","Oxford University Press (OUP)","Kraak, Sarah B. M. and Reid, Dave G. and Gerritsen, Hans D. and Kelly, Ciarán J. and Fitzpatrick, Mike and Codling, Edward A. and Rogan, Emer","2012","feb","590–601","Kraak_2012","article","10.1093/icesjms/fss033",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Using cross-correlations to assess the relationship between time-lagged pressure and state indicators: an exemplary analysis of North Sea fish population indicators","69","1054-3139","http://dx.doi.org/10.1093/icesjms/fss015","10.1093/icesjms/fss015","4","ICES Journal of Marine Science","Oxford University Press (OUP)","Probst, Wolfgang Nikolaus and Stelzenmüller, Vanessa and Fock, Heino Ove","2012","feb","670–681","Probst_2012","article","10.1093/icesjms/fss015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long-term environmental exposure to metals (Cu, Cd, Pb, Zn) activates the immune cell stress response in the common European sea star (Asterias rubens)","76","0141-1136","http://dx.doi.org/10.1016/j.marenvres.2011.09.008","10.1016/j.marenvres.2011.09.008",NA,"Marine Environmental Research","Elsevier BV","Matranga, V. and Pinsino, A. and Randazzo, D. and Giallongo, A. and Dubois, P.","2012","may","122–127","Matranga_2012","article","10.1016/j.marenvres.2011.09.008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A generalized approach for simulating growth and development in diverse marine copepod species","69","1054-3139","http://dx.doi.org/10.1093/icesjms/fsr182","10.1093/icesjms/fsr182","3","ICES Journal of Marine Science","Oxford University Press (OUP)","Maps, Frédéric and Pershing, Andrew J. and Record, Nicholas R.","2011","dec","370–379","Maps_2011","article","10.1093/icesjms/fsr182",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biomarker responses in Atlantic cod (Gadus morhua) exposed to produced water from a North Sea oil field: Laboratory and field assessments","64","0025-326X","http://dx.doi.org/10.1016/j.marpolbul.2011.10.005","10.1016/j.marpolbul.2011.10.005","1","Marine Pollution Bulletin","Elsevier BV","Sundt, Rolf C. and Ruus, Anders and Jonsson, Henrik and Skarphéðinsdóttir, Halldóra and Meier, Sonnich and Grung, Merete and Beyer, Jonny and Pampanin, Daniela M.","2012","jan","144–152","Sundt_2012","article","10.1016/j.marpolbul.2011.10.005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trans-Atlantic rafting by the brooding reef coral Favia fragum on man-made flotsam","445","1616-1599","http://dx.doi.org/10.3354/meps09460","10.3354/meps09460",NA,"Marine Ecology Progress Series","Inter-Research Science Center","Hoeksema, BW and Roos, PJ and Cadée, GC","2012","jan","209–218","Hoeksema_2012","article","10.3354/meps09460",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UV‐radiation and elevated temperatures induce formation of reactive oxygen species in gametophytes of cold‐temperate/Arctic kelps (Laminariales, Phaeophyceae)","60","1440-1835","http://dx.doi.org/10.1111/j.1440-1835.2011.00630.x","10.1111/j.1440-1835.2011.00630.x","1","Phycological Research","Wiley","Müller, Ruth and Desel, Christine and Steinhoff, Franciska S. and Wiencke, Christian and Bischof, Kai","2011","dec","27–36","M_ller_2011","article","10.1111/j.1440-1835.2011.00630.x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morphodynamics of the Wadden Sea and its barrier island system","68","0964-5691","http://dx.doi.org/10.1016/j.ocecoaman.2011.12.022","10.1016/j.ocecoaman.2011.12.022",NA,"Ocean &amp; Coastal Management","Elsevier BV","Wang, Z.B. and Hoekstra, P. and Burchard, H. and Ridderinkhof, H. and De Swart, H.E. and Stive, M.J.F.","2012","nov","39–57","Wang_2012","article","10.1016/j.ocecoaman.2011.12.022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changing North Sea storm surge climate: An increasing hazard?","68","0964-5691","http://dx.doi.org/10.1016/j.ocecoaman.2011.09.005","10.1016/j.ocecoaman.2011.09.005",NA,"Ocean &amp; Coastal Management","Elsevier BV","Weisse, Ralf and von Storch, Hans and Niemeyer, Hanz Dieter and Knaack, Heiko","2012","nov","58–68","Weisse_2012","article","10.1016/j.ocecoaman.2011.09.005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comparison of biogenic methane emissions from unmanaged estuaries, lakes, oceans, rivers and wetlands","59","1352-2310","http://dx.doi.org/10.1016/j.atmosenv.2012.05.031","10.1016/j.atmosenv.2012.05.031",NA,"Atmospheric Environment","Elsevier BV","Ortiz-Llorente, M.J. and Alvarez-Cobelas, M.","2012","nov","328–337","Ortiz_Llorente_2012","article","10.1016/j.atmosenv.2012.05.031",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intrastock differences in maturation schedules of Atlantic cod, Gadus morhua","68","1054-3139","http://dx.doi.org/10.1093/icesjms/fsr111","10.1093/icesjms/fsr111","9","ICES Journal of Marine Science","Oxford University Press (OUP)","Wright, Peter J. and Millar, Colin P. and Gibb, Fiona M.","2011","jul","1918–1927","Wright_2011","article","10.1093/icesjms/fsr111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Sea ecosystem change from swimming crabs to seagulls","8","1744-957X","http://dx.doi.org/10.1098/rsbl.2012.0474","10.1098/rsbl.2012.0474","5","Biology Letters","The Royal Society","Luczak, C. and Beaugrand, G. and Lindley, J. A. and Dewarumez, J-M. and Dubois, P. J. and Kirby, R. R.","2012","jul","821–824","Luczak_2012","article","10.1098/rsbl.2012.0474",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Small Changes in pH Have Direct Effects on Marine Bacterial Community Composition: A Microcosm Approach","7","1932-6203","http://dx.doi.org/10.1371/journal.pone.0047035","10.1371/journal.pone.0047035","10","PLoS ONE","Public Library of Science (PLoS)","Krause, Evamaria and Wichels, Antje and Giménez, Luis and Lunau, Mirko and Schilhabel, Markus B. and Gerdts, Gunnar","2012","oct","e47035","Krause_2012","article","10.1371/journal.pone.0047035","Kirchman, David L.",NA,NA,NA,NA,NA,NA,NA,NA
"Impacts of temperature and acidification on larval calcium incorporation of the spider crab Hyas araneus from different latitudes (54° vs. 79°N)","158","1432-1793","http://dx.doi.org/10.1007/s00227-011-1711-x","10.1007/s00227-011-1711-x","9","Marine Biology","Springer Science and Business Media LLC","Walther, Kathleen and Sartoris, Franz J. and Pörtner, Hans O.","2011","may","2043–2053","Walther_2011","article","10.1007/s00227-011-1711-x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Review of climate change impacts on marine fish and shellfish around the UK and Ireland","22","1099-0755","http://dx.doi.org/10.1002/aqc.2244","10.1002/aqc.2244","3","Aquatic Conservation: Marine and Freshwater Ecosystems","Wiley","Heath, Michael R. and Neat, Francis C. and Pinnegar, John K. and Reid, David G. and Sims, David W. and Wright, Peter J.","2012","may","337–367","Heath_2012","article","10.1002/aqc.2244",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Temporal genetic stability and high effective population size despite fisheries-induced life-history trait evolution in the North Sea sole: EFFECTIVE POPULATION SIZE IN THE OVEREXPLOITED NORTH SEA SOLE",NA,"0962-1083","http://dx.doi.org/10.1111/j.1365-294x.2011.05196.x","10.1111/j.1365-294x.2011.05196.x",NA,"Molecular Ecology","Wiley","CUVELIERS, E. L. and VOLCKAERT, F. A. M. and RIJNSDORP, A. D. and LARMUSEAU, M. H. D. and MAES, G. E.","2011","jul","no-no","CUVELIERS_2011","article","10.1111/j.1365-294x.2011.05196.x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Review of climate change impacts on marine fisheries in the UK and Ireland","22","1099-0755","http://dx.doi.org/10.1002/aqc.2248","10.1002/aqc.2248","3","Aquatic Conservation: Marine and Freshwater Ecosystems","Wiley","Cheung, William W. L. and Pinnegar, John and Merino, Gorka and Jones, Miranda C. and Barange, Manuel","2012","may","368–388","Cheung_2012","article","10.1002/aqc.2248",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changing zooplankton seasonality in a changing ocean: Comparing time series of zooplankton phenology","97–100","0079-6611","http://dx.doi.org/10.1016/j.pocean.2011.11.005","10.1016/j.pocean.2011.11.005",NA,"Progress in Oceanography","Elsevier BV","Mackas, D.L. and Greve, W. and Edwards, M. and Chiba, S. and Tadokoro, K. and Eloire, D. and Mazzocchi, M.G. and Batten, S. and Richardson, A.J. and Johnson, C. and Head, E. and Conversi, A. and Peluso, T.","2012","may","31–62","Mackas_2012","article","10.1016/j.pocean.2011.11.005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Generic harvest control rules for European fisheries: Generic harvest control rules","12","1467-2960","http://dx.doi.org/10.1111/j.1467-2979.2010.00387.x","10.1111/j.1467-2979.2010.00387.x","3","Fish and Fisheries","Wiley","Froese, Rainer and Branch, Trevor A and Proelß, Alexander and Quaas, Martin and Sainsbury, Keith and Zimmermann, Christopher","2010","oct","340–351","Froese_2010","article","10.1111/j.1467-2979.2010.00387.x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larval mortality rates and population dynamics of Lesser Sandeel (Ammodytes marinus) in the northwestern North Sea","93","0924-7963","http://dx.doi.org/10.1016/j.jmarsys.2011.08.010","10.1016/j.jmarsys.2011.08.010",NA,"Journal of Marine Systems","Elsevier BV","Heath, Michael R. and Rasmussen, Jens and Bailey, Martin C. and Dunn, John and Fraser, John and Gallego, Alejandro and Hay, Stephen J. and Inglis, Michelle and Robinson, Susan","2012","may","47–57","Heath_2012","article","10.1016/j.jmarsys.2011.08.010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchovy population expansion in the North Sea","444","1616-1599","http://dx.doi.org/10.3354/meps09451","10.3354/meps09451",NA,"Marine Ecology Progress Series","Inter-Research Science Center","Petitgas, P and Alheit, J and Peck, MA and Raab, K and Irigoien, X and Huret, M and van der Kooij, J and Pohlmann, T and Wagner, C and Zarraonaindia, I and Dickey-Collas, M","2012","jan","1–13","Petitgas_2012","article","10.3354/meps09451",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Short-term choice behaviour in a mixed fishery: investigating métier selection in the Danish gillnet fishery","69","1054-3139","http://dx.doi.org/10.1093/icesjms/fsr181","10.1093/icesjms/fsr181","1","ICES Journal of Marine Science","Oxford University Press (OUP)","Andersen, Bo Sølgaard and Ulrich, Clara and Eigaard, Ole Ritzau and Christensen, Anne-Sofie","2012","jan","131–143","Andersen_2012","article","10.1093/icesjms/fsr181",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Effects of ocean acidification on different life-cycle stages of the kelp Laminaria hyperborea (Phaeophyceae)","55","0006-8055","http://dx.doi.org/10.1515/bot-2012-0163","10.1515/bot-2012-0163","5","botm","Walter de Gruyter GmbH","Olischläger, Mark and Bartsch, Inka and Gutow, Lars and Wiencke, Christian","2012","aug","511–525","Olischl_ger_2012","article","10.1515/bot-2012-0163",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A calculation mode for the correct GC/ECNI-MS-SIM determination of polychlorinated terphenyls in the presence of high excesses of polychlorinated biphenyls","404","1618-2650","http://dx.doi.org/10.1007/s00216-012-6306-y","10.1007/s00216-012-6306-y","6–7","Analytical and Bioanalytical Chemistry","Springer Science and Business Media LLC","Rosenfelder, Natalie and Vetter, Walter","2012","sep","2105–2111","Rosenfelder_2012","article","10.1007/s00216-012-6306-y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spatial variability of the plankton trophic interaction in the <scp>N</scp>orth <scp>S</scp>ea: a new feature after the early 1970s","18","1365-2486","http://dx.doi.org/10.1111/j.1365-2486.2011.02492.x","10.1111/j.1365-2486.2011.02492.x","1","Global Change Biology","Wiley","Llope, Marcos and Licandro, Priscilla and Chan, Kung‐Sik and Stenseth, Nils Chr.","2011","aug","106–117","Llope_2011","article","10.1111/j.1365-2486.2011.02492.x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infestation of oysters and mussels by mytilicolid copepods: differences between natural coastal habitats and two offshore cultivation sites in the German Bight","28","0175-8659","http://dx.doi.org/10.1111/jai.12025","10.1111/jai.12025","5","Journal of Applied Ichthyology","Hindawi Limited","Pogoda, B. and Jungblut, S. and Buck, B. H. and Hagen, W.","2012","sep","756–765","Pogoda_2012","article","10.1111/jai.12025",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phytoplankton composition in Dutch coastal waters responds to changes in riverine nutrient loads","73","1385-1101","http://dx.doi.org/10.1016/j.seares.2012.06.009","10.1016/j.seares.2012.06.009",NA,"Journal of Sea Research","Elsevier BV","Prins, T.C. and Desmit, X. and Baretta-Bekker, J.G.","2012","oct","49–62","Prins_2012","article","10.1016/j.seares.2012.06.009",NA,NA,NA,NA,NA,NA,NA,NA,NA
